"country","country_code","year","mmr","low","high"
"Nigeria","NGA",2023,992.8292085,718.3332538,1539.814219
"Chad","TCD",2023,747.5398465,493.3139191,1248.049979
"South Sudan","SSD",2023,691.8202948,399.56586,1253.690874
"Central African Republic","CAF",2023,691.7425122,333.1607351,1298.850285
"Liberia","LBR",2023,627.71764,436.1128623,913.2930647
"Benin","BEN",2023,518.2329466,392.8674415,739.6691546
"Guinea-Bissau","GNB",2023,505.3680331,313.1460582,850.9608317
"Guinea","GIN",2023,494.1156532,336.5019355,764.4826397
"Lesotho","LSO",2023,478.0203695,297.7914146,724.7403137
"Madagascar","MDG",2023,445.4290222,325.5631398,651.9497113
"Democratic Republic of the Congo","COD",2023,427.0455049,283.2880655,774.9806881
"Burundi","BDI",2023,391.9746806,251.3668851,611.1360407
"Mauritania","MRT",2023,381.0540883,262.6035897,560.9406146
"Kenya","KEN",2023,378.795784,267.036829,546.7888213
"Mali","MLI",2023,367.3314713,267.5228826,497.9661282
"Cote d'Ivoire","CIV",2023,358.9502776,237.0344556,568.212841
"Zimbabwe","ZWE",2023,357.6149794,235.5133509,484.2111457
"Gambia","GMB",2023,354.3525621,244.8752981,504.3911553
"Sierra Leone","SLE",2023,353.5635563,249.2153907,537.022348
"Niger","NER",2023,350.2683336,227.4447386,562.9579495
"Togo","TGO",2023,348.9030607,219.184741,526.48832
"Eritrea","ERI",2023,291.3582234,175.5122416,482.6744076
"United Republic of Tanzania","TZA",2023,275.843788,192.0639278,429.0205761
"Cameroon","CMR",2023,258.2253997,195.5898546,359.4639765
"Burkina Faso","BFA",2023,241.7867093,155.2016758,366.8955596
"Congo","COG",2023,241.0887523,143.7731843,452.5105817
"Senegal","SEN",2023,237.4420892,172.5496747,365.201785
"Ghana","GHA",2023,234.3232197,155.3754538,343.8852477
"Gabon","GAB",2023,232.660417,133.8273777,423.6728686
"Rwanda","RWA",2023,229.4838991,157.5280523,373.2001523
"Malawi","MWI",2023,224.9501524,153.0403213,351.9180289
"Ethiopia","ETH",2023,194.936852,128.3995007,332.0242493
"Angola","AGO",2023,183.2019263,116.7181977,286.361518
"Comoros","COM",2023,178.8769234,102.9709259,308.4136229
"Equatorial Guinea","GNQ",2023,173.6629385,103.3740664,308.5529648
"Uganda","UGA",2023,170.3104838,116.2769229,297.7198228
"Botswana","BWA",2023,155.0985471,95.96815156,267.9370228
"Namibia","NAM",2023,138.85587,90.89938667,223.1272539
"Eswatini","SWZ",2023,117.9301557,72.36378407,208.77184
"South Africa","ZAF",2023,117.5665428,92.47478267,136.8338785
"Zambia","ZMB",2023,85.4503666,60.77543268,125.5463637
"Mozambique","MOZ",2023,82.21794006,60.04603405,112.8785161
"Sao Tome and Principe","STP",2023,75.3639749,41.75139629,137.7529511
"Mauritius","MUS",2023,65.90150636,43.54155496,105.0976007
"Algeria","DZA",2023,62.48508507,45.53176751,86.52050433
"Seychelles","SYC",2023,41.89188388,25.94689842,64.35551787
"Cabo Verde","CPV",2023,40.03827212,22.31775139,65.4926106
